"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Profile Actions","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"01-15-2025","X","'@flyONT","6,392","4","4","0","0","6","40","0","3","7.5%","0","0","0","0","","3","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","4","0","0","0","2","","","","","0","","0","","","","","","","",""
"01-15-2025","Facebook","Ontario International Airport","25,956","-1","","0","0","0","952","35","72","7.56%","19","0","3","3","","47","","0","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-15-2025","Instagram","flyont","13,360","-1","4","0","0","2","5,904","7,871","378","6.4%","346","2","21","","9","","","","","","","","","","","","","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","0","0","2","0","","","","","0","0",""
"01-15-2025","LinkedIn","Ontario International Airport","5,987","7","7","0","0","0","421","74","36","8.55%","16","0","0","20","","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-15-2025","TikTok","'@flyontairport","3,411","2","","0","0","2","1,423","1,423","28","1.97%","24","2","2","","","","","","","","","","","","","","","","","","0","","","","","","","","0","0","","","","","","","","","","","","","0","","0","","","","","","","","2"
"01-15-2025","YouTube","FlyONT - Ontario International Airport","1,090","0","0","0","0","0","","212","12","","7","0","5","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
"01-16-2025","X","'@flyONT","6,390","-2","0","0","0","1","13","0","0","0%","0","0","0","0","","0","0","","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","1","0","0","0","","","","","0","","0","","","","","","","",""
"01-16-2025","Facebook","Ontario International Airport","25,954","-2","","1","1","1","1,398","38","5","0.36%","0","0","0","0","","5","","0","","","","","1","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","1","0","0","0","0","","0","","","","","","","",""
"01-16-2025","Instagram","flyont","13,364","4","4","3","1","4","7,795","8,058","337","4.32%","307","3","20","","7","","","","","","","","","","","","","1","0","0","1","0","","","","","","","","","","","","","","","","","","","","","3","0","0","0","","","","","1","1",""
"01-16-2025","LinkedIn","Ontario International Airport","5,992","7","7","1","1","0","484","16","39","8.06%","12","0","0","27","","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-16-2025","TikTok","'@flyontairport","3,411","0","","1","0","1","1,404","1,404","25","1.78%","22","1","2","","","","","","","","","","","","","","","","","","0","","","","","","","","0","1","","","","","","","","","","","","","0","","0","","","","","","","","1"
"01-16-2025","YouTube","FlyONT - Ontario International Airport","1,090","1","1","0","0","0","","309","2","","0","1","1","","","0","0","","","","","","","","","","","","","","0","","","","","","","","","","","","0","","","","","","","","","","0","","0","","","","","","","",""
